tiempo,avance,velocidad,inlet_temp,IND_1,IND_2,IND_3,IND_4,outlet_temp,posicion
0.9,1.001,1.001,937.6523000000001,0.0,0.0,0.0,0.0,0.0,1.001
1.8,0.7490000000000001,0.8322222222222224,1002.4024444444444,0.0,0.0,0.0,0.0,0.0,1.75
2.7,1.0,1.1111111111111112,1014.992222222222,87.11111111111111,0.0,0.0,0.0,0.0,2.75
3.6,1.0,1.1111111111111107,1016.821111111111,217.66666666666666,0.0,0.0,0.0,0.0,3.75
4.5,0.75,0.8333333333333338,1018.0799999999999,222.77777777777777,0.0,0.0,0.0,0.0,4.5
5.4,1.0,1.1111111111111107,1016.3077777777776,223.0,48.666666666666664,0.0,0.0,0.0,5.5
6.3,0.75,0.833333333333333,1004.7822222222223,222.0,175.11111111111111,0.0,0.0,0.0,6.25
7.2,1.0,1.1111111111111118,1011.8833333333332,222.0,211.22222222222223,0.0,0.0,0.0,7.25
8.1,1.0,1.1111111111111118,1011.0366666666666,223.33333333333334,224.33333333333334,0.0,0.0,0.0,8.25
9.0,0.75,0.833333333333333,1009.0566666666665,393.77777777777777,232.44444444444446,0.0,0.0,0.0,9.0
9.9,0.8626500000000004,0.9585,1012.9300000000001,587.1111111111111,233.0,0.0,0.0,0.0,9.86265
10.8,0.3874499999999994,0.43049999999999916,1006.6588888888889,563.5555555555555,235.22222222222223,168.88888888888889,0.0,0.0,10.2501
11.7,0.5,0.5555555555555554,1006.7355555555556,547.4444444444445,280.6666666666667,232.55555555555554,0.0,0.0,10.7501
12.6,0.5,0.5555555555555565,1014.8722222222223,520.1111111111111,455.77777777777777,256.3333333333333,0.0,0.0,11.2501
13.5,0.375,0.4166666666666665,1016.0800000000002,497.0,488.8888888888889,261.1111111111111,0.0,0.0,11.6251
14.4,0.5,0.5555555555555554,1013.5811111111111,482.0,476.22222222222223,265.22222222222223,0.0,0.0,12.1251
15.3,0.375,0.4166666666666665,1009.6355555555557,480.8888888888889,451.6666666666667,271.44444444444446,0.0,0.0,12.5001
16.2,0.5,0.5555555555555554,1008.9744444444445,486.0,165.33333333333334,274.44444444444446,0.0,0.0,13.0001
17.1,0.5,0.5555555555555565,1014.9911111111111,484.77777777777777,1.3333333333333333,316.8888888888889,0.0,0.0,13.5001
18.0,0.375,0.4166666666666657,1018.2288888888891,481.44444444444446,0.0,403.22222222222223,28.444444444444443,0.0,13.8751
18.9,0.5,0.5555555555555565,1018.8144444444445,505.6666666666667,0.0,418.6666666666667,235.0,0.0,14.3751
19.8,0.3500999999999994,0.38899999999999996,1014.8022222222221,527.8888888888889,0.0,467.8888888888889,239.22222222222223,0.0,14.7252
20.7,0.22820000000000107,0.25355555555555614,1006.7611111111112,550.6666666666666,0.0,475.77777777777777,246.0,0.0,14.9534
21.6,0.20420000000000016,0.22688888888888942,1010.8333333333334,572.6666666666666,0.0,483.8888888888889,260.22222222222223,0.0,15.1576
22.5,0.1532,0.17022222222222183,1016.6677777777778,595.1111111111111,0.0,221.55555555555554,273.8888888888889,0.0,15.3108
23.4,0.20420000000000016,0.22688888888888942,1018.6044444444445,607.8888888888889,0.0,8.555555555555555,288.1111111111111,0.0,15.515
24.3,0.1532,0.1702222222222225,1019.0433333333333,602.5555555555555,0.0,0.0,300.77777777777777,0.0,15.6682
25.2,0.20420000000000016,0.22688888888888853,1018.7900000000001,610.3333333333334,0.0,0.0,439.6666666666667,0.0,15.8724
26.1,0.20419999999999838,0.22688888888888745,1019.3377777777779,621.2222222222222,0.0,0.0,701.8888888888889,0.0,16.0766
27.0,0.15320000000000178,0.1702222222222238,1019.4022222222221,630.4444444444445,0.0,0.0,659.5555555555555,0.0,16.2298
27.9,0.20420000000000016,0.22688888888888942,1019.2088888888889,638.5555555555555,0.0,0.0,618.6666666666666,0.0,16.434
28.8,0.15309999999999846,0.17011111111110966,1017.8222222222222,646.6666666666666,0.0,0.0,544.5555555555555,0.0,16.5871
29.7,0.20429999999999993,0.22699999999999937,1016.4766666666666,651.3333333333334,0.0,0.0,505.6666666666667,0.0,16.7914
30.6,0.20420000000000016,0.22688888888888942,1012.0577777777778,654.0,0.0,0.0,516.0,0.0,16.9956
31.5,0.153100000000002,0.17011111111111293,1004.1744444444444,660.5555555555555,0.0,50.55555555555556,530.3333333333334,0.0,17.1487
32.4,0.20420000000000016,0.22688888888888942,1003.7444444444443,667.6666666666666,0.0,266.22222222222223,548.0,0.0,17.3529
33.3,0.15319999999999823,0.17022222222222053,1008.3077777777778,679.5555555555555,0.0,268.0,568.3333333333334,0.0,17.5061
34.2,0.20420000000000016,0.22688888888888942,1011.3833333333334,685.1111111111111,0.0,268.0,574.5555555555555,0.0,17.7103
35.1,0.20420000000000016,0.22688888888888764,1013.1355555555555,684.0,0.0,268.0,564.3333333333334,0.0,17.9145
36.0,0.1534000000000013,0.17044444444444617,1013.4966666666666,683.7777777777778,0.0,268.22222222222223,556.3333333333334,0.0,18.0679
36.9,0.20399999999999707,0.22666666666666377,1013.8066666666667,683.4444444444445,0.0,268.3333333333333,557.0,0.0,18.2719
37.8,0.15320000000000178,0.17022222222222447,1012.6955555555555,680.2222222222222,0.0,346.0,567.5555555555555,0.0,18.4251
38.7,0.20420000000000016,0.22688888888888942,1011.2522222222223,678.0,0.0,536.7777777777778,587.5555555555555,0.0,18.6293
39.6,0.20420000000000016,0.22688888888888764,1010.6855555555555,681.3333333333334,0.0,546.2222222222222,607.1111111111111,0.0,18.8335
40.5,0.15319999999999823,0.17022222222222053,1009.5633333333333,680.1111111111111,0.0,536.2222222222222,643.0,0.0,18.9867
41.4,0.20420000000000016,0.22688888888888942,1006.5900000000001,679.8888888888889,0.0,516.3333333333334,652.2222222222222,0.0,19.1909
42.3,0.15320000000000178,0.17022222222222447,998.5396666666667,678.1111111111111,0.0,497.8888888888889,692.4444444444445,700.0,19.3441
43.2,0.20420000000000016,0.22688888888888942,989.0866666666667,675.8888888888889,0.0,495.77777777777777,682.6666666666666,724.218111111111,19.5483
44.1,0.19559090909089605,0.21732323232321646,0.0,677.6666666666666,0.0,485.55555555555554,674.2222222222222,982.2002222222222,19.743890909090897
45.0,0.18564545454544046,0.20627272727271195,0.0,678.7777777777778,0.0,480.1111111111111,676.3333333333334,1037.3455555555556,19.929536363636338
45.9,0.1856454545454369,0.206272727272708,0.0,679.3333333333334,0.0,479.44444444444446,655.0,1045.572222222222,20.115181818181775
46.8,0.185645454545444,0.2062727272727159,0.0,680.2222222222222,0.0,476.6666666666667,645.8888888888889,1044.9777777777776,20.30082727272722
47.7,0.16398981818181824,0.18221090909090945,0.0,681.0,0.0,490.22222222222223,646.5555555555555,1041.7988888888892,20.464817090909037
48.6,0.20441999999999538,0.22713333333332678,0.0,680.2222222222222,0.0,487.0,644.5555555555555,1044.218888888889,20.669237090909032
49.5,0.15295799999999815,0.16995333333333154,0.0,688.2222222222222,0.0,486.22222222222223,648.8888888888889,1053.4244444444444,20.82219509090903
50.4,0.20421600000000595,0.22690666666667364,0.0,695.1111111111111,0.0,479.55555555555554,659.5555555555555,1058.08,21.026411090909036
51.3,0.1531619999999947,0.17017999999999436,0.0,705.6666666666666,0.0,482.77777777777777,649.6666666666666,1058.8277777777778,21.17957309090903
52.2,0.20421600000000595,0.22690666666667364,0.0,707.5555555555555,0.0,490.8888888888889,651.2222222222222,1063.3566666666666,21.383789090909037
53.1,0.2042199999999994,0.226911111111109,0.0,677.7777777777778,0.0,491.22222222222223,651.6666666666666,1065.702222222222,21.588009090909036
54.0,0.1531599999999962,0.17017777777777382,0.0,635.5555555555555,0.0,488.22222222222223,653.8888888888889,1065.7466666666664,21.741169090909032
54.9,0.2040100000000038,0.22667777777778236,0.0,599.5555555555555,0.0,496.44444444444446,648.8888888888889,1066.5966666666666,21.945179090909036
55.8,0.15336999999999534,0.1704111111111062,0.0,572.3333333333334,0.0,485.22222222222223,648.1111111111111,1068.3766666666666,22.09854909090903
56.7,0.20420999999999978,0.2269000000000001,0.0,559.1111111111111,0.0,493.3333333333333,646.0,1067.657777777778,22.30275909090903
57.6,0.2042199999999994,0.226911111111109,0.0,556.4444444444445,0.0,493.3333333333333,646.5555555555555,1065.388888888889,22.50697909090903
58.5,0.15315999999999974,0.17017777777777776,0.0,560.7777777777778,0.0,495.77777777777777,649.3333333333334,1060.8377777777778,22.66013909090903
59.4,0.2042200000000065,0.2269111111111187,0.0,551.1111111111111,0.0,485.22222222222223,651.7777777777778,1058.132222222222,22.864359090909037
60.3,0.15315999999999974,0.17017777777777776,0.0,511.6666666666667,0.0,488.3333333333333,651.6666666666666,1061.1377777777777,23.017519090909037
61.2,0.20420999999999978,0.2269000000000001,0.0,469.44444444444446,0.0,480.22222222222223,647.0,1064.0911111111113,23.221729090909037
62.1,0.20421999999999585,0.22691111111110507,0.0,435.0,0.0,488.22222222222223,635.5555555555555,1064.3044444444447,23.425949090909032
63.0,0.15315999999999974,0.17017777777777776,0.0,407.3333333333333,0.0,485.44444444444446,634.7777777777778,1064.13,23.579109090909032
63.9,0.2042199999999994,0.2269111111111108,0.0,394.3333333333333,0.0,484.77777777777777,638.6666666666666,1063.5311111111114,23.78332909090903
64.8,0.15315999999999974,0.1701777777777764,0.0,397.0,0.0,475.3333333333333,604.7777777777778,1062.1366666666665,23.93648909090903
65.7,0.2042199999999994,0.2269111111111126,0.0,398.77777777777777,0.0,491.8888888888889,606.8888888888889,1061.4355555555558,24.14070909090903
66.6,0.20420999999999978,0.22689999999999833,0.0,417.55555555555554,0.0,493.8888888888889,597.5555555555555,1060.5611111111111,24.34491909090903
67.5,0.15315999999999974,0.1701777777777791,0.0,446.55555555555554,0.0,484.55555555555554,565.4444444444445,1056.771111111111,24.49807909090903
68.4,0.2042200000000065,0.22691111111111692,0.0,399.1111111111111,0.0,493.44444444444446,583.8888888888889,1051.1077777777778,24.702299090909037
69.3,0.15315999999999974,0.1701777777777764,0.0,353.0,0.0,484.3333333333333,591.4444444444445,1042.5144444444443,24.855459090909036
70.2,0.20421999999999585,0.22691111111110865,0.0,312.55555555555554,0.0,498.0,585.3333333333334,1036.8177777777776,25.059679090909032
71.1,0.20420999999999978,0.22689999999999833,0.0,283.77777777777777,0.0,493.1111111111111,578.3333333333334,1040.9911111111112,25.263889090909032
72.0,0.15316999999999936,0.1701888888888898,0.0,278.8888888888889,0.0,494.55555555555554,575.7777777777778,1048.131111111111,25.41705909090903
72.9,0.20420999999999978,0.22689999999999833,0.0,245.0,0.0,485.6666666666667,590.0,1051.6755555555558,25.62126909090903
73.8,0.15315999999999974,0.1701777777777764,0.0,158.33333333333334,0.0,440.22222222222223,587.6666666666666,1054.506666666667,25.77442909090903
74.7,0.2042199999999994,0.2269111111111126,0.0,145.11111111111111,0.0,149.44444444444446,586.3333333333334,1056.7255555555557,25.97864909090903
75.6,0.2042199999999994,0.226911111111109,0.0,104.44444444444444,0.0,0.4444444444444444,582.3333333333334,1058.2533333333336,26.18286909090903
76.5,0.15316000000000685,0.170177777777787,0.0,6.888888888888889,0.0,0.0,590.2222222222222,1058.1611111111113,26.336029090909037
77.4,0.20420999999999978,0.22689999999999833,0.0,0.0,0.0,0.0,592.6666666666666,1058.378888888889,26.540239090909036
78.3,0.1531699999999958,0.17018888888888314,0.0,0.0,0.0,0.0,593.2222222222222,1058.328888888889,26.693409090909032
79.2,0.20420999999999978,0.2269000000000019,0.0,0.0,0.0,0.0,593.2222222222222,1056.5355555555552,26.897619090909032
80.1,0.2042199999999994,0.226911111111109,0.0,0.0,0.0,0.0,592.3333333333334,1054.378888888889,27.10183909090903
81.0,0.15315999999999974,0.1701777777777791,0.0,0.0,0.0,0.0,591.2222222222222,1051.798888888889,27.25499909090903
81.9,0.2042199999999994,0.226911111111109,0.0,0.0,0.0,0.0,590.5555555555555,1052.0566666666666,27.45921909090903
82.8,0.15315999999999974,0.1701777777777764,0.0,0.0,0.0,0.0,590.6666666666666,1055.74,27.61237909090903
83.7,0.20421000000000689,0.2269000000000098,0.0,0.0,0.0,0.0,596.7777777777778,1058.2411111111112,27.816589090909037
84.6,0.2042199999999994,0.226911111111109,0.0,0.0,0.0,0.0,606.8888888888889,1057.8733333333332,28.020809090909037
85.5,0.15315999999999974,0.1701777777777791,0.0,0.0,0.0,0.0,613.8888888888889,1057.8633333333332,28.173969090909036
86.4,0.20421999999999585,0.22691111111110507,0.0,0.0,0.0,0.0,629.7777777777778,1059.028888888889,28.378189090909032
87.3,0.15315999999999974,0.1701777777777764,0.0,0.0,0.0,0.0,642.8888888888889,1057.8044444444447,28.531349090909032
88.2,0.2042199999999994,0.2269111111111126,0.0,0.0,0.0,0.0,643.7777777777778,1058.2733333333335,28.73556909090903
89.1,0.20421000000000333,0.22690000000000227,0.0,0.0,0.0,0.0,665.4444444444445,1057.6711111111113,28.939779090909035
90.0,0.1531699999999958,0.17018888888888584,0.0,0.0,0.0,0.0,674.3333333333334,1056.76,29.09294909090903
90.9,0.20421000000000689,0.2269000000000062,0.0,0.0,0.0,0.0,691.6666666666666,1055.341111111111,29.297159090909037
91.8,0.15315999999999974,0.1701777777777764,0.0,0.0,0.0,0.0,707.7777777777778,1049.5900000000001,29.450319090909037
92.7,0.2042199999999994,0.2269111111111126,0.0,0.0,0.0,0.0,714.1111111111111,1046.9033333333334,29.654539090909037
93.6,0.20421999999999585,0.22691111111110507,0.0,0.0,0.0,0.0,728.7777777777778,1052.9888888888888,29.858759090909032
94.5,0.15315999999999974,0.1701777777777791,0.0,0.0,0.0,0.0,742.6666666666666,1059.4877777777776,30.011919090909032
95.4,0.20420999999999978,0.22689999999999833,0.0,0.0,0.0,0.0,757.5555555555555,1063.5733333333335,30.216129090909032
96.3,0.15318000000000254,0.17020000000000174,0.0,0.0,0.0,0.0,759.7777777777778,1065.4388888888889,30.369309090909034
97.2,0.20420000000000016,0.22688888888889122,0.0,0.0,0.0,0.0,771.8888888888889,1066.5744444444445,30.573509090909035
98.1,0.2041999999999966,0.22688888888888367,0.0,0.0,0.0,0.0,784.2222222222222,1066.9222222222222,30.77770909090903
99.0,0.15320000000000533,0.17022222222222977,0.0,0.0,0.0,0.0,797.0,1065.9566666666667,30.930909090909037
99.9,0.20420000000000016,0.22688888888888764,0.0,0.0,0.0,0.0,808.7777777777778,1065.5199999999998,31.135109090909037
