,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6221839,18.9908,18.7061,34.0,1,WAA1032340L000,estamp_frioAl
1,6221840,19.0621,18.6912,34.0,1,WAA1032340L000,estamp_frioAl
2,6221841,19.1059,18.7497,34.0,1,WAA1856340L000,estamp_frioAl
3,6221842,19.0745,18.6967,34.0,1,WAA1856340L000,estamp_frioAl
4,6221843,19.2420,18.7365,34.0,1,WAA1856340L000,estamp_frioAl
5,6221844,19.1929,18.7407,34.0,1,WAA1856340L000,estamp_frioAl
6,6221845,19.0406,18.8421,34.0,1,WAB2314340L000,estamp_frioB
7,6221846,19.1329,18.8239,34.0,1,WAB2314340L000,estamp_frioB
8,6221847,19.0567,18.8164,34.0,1,WAB2314340L000,estamp_frioB
9,6221848,18.9517,18.8161,34.0,1,WAB2314340L000,estamp_frioB
10,6221849,18.9936,18.8555,34.0,1,WAB2314340L000,estamp_frioB
11,6221850,19.2538,18.8428,34.0,1,WAB2314340L000,estamp_frioB
