,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6321729,19.4375,19.0207,5.5,2,WAT7060055N000,neumatico
1,6321731,19.5836,18.8809,5.5,2,WAT7060055N000,neumatico
2,6321733,19.3929,18.8586,5.5,2,WAT7060055N000,neumatico
3,6321735,19.3279,18.9104,5.5,2,WAT7060055N000,neumatico
4,6321737,19.4872,18.91,5.5,2,WAT7060055N000,neumatico
5,6321739,19.5071,18.9304,5.5,2,WAT7060055N000,neumatico
6,6321741,19.4553,18.9227,5.5,2,WAT7060055N000,neumatico
7,6321743,19.6089,18.9071,5.5,2,WAT7060055N000,neumatico
8,6321745,19.4884,18.9153,5.5,2,WAT7060055N000,neumatico
9,6321747,19.5503,18.8857,5.5,2,WAT7060055N000,neumatico
10,6321749,19.624,18.9092,5.5,2,WAT7060055N000,neumatico
11,6321757,19.5626,18.9656,5.5,2,WAT7060055N000,neumatico
12,6321759,19.3959,18.9095,5.5,2,WAT7060055N000,neumatico
13,6321761,19.4331,18.9468,5.5,2,WAT7060055N000,neumatico
14,6321763,19.3451,18.9063,5.5,2,WAT7060055N000,neumatico
15,6321765,19.635,18.8909,5.5,2,WAT7060055N000,neumatico
16,6321767,19.4756,18.9271,5.5,2,WAT7060055N000,neumatico
