,bulto,IF1 Pirometro entrada horno,tiempo,IF1 Pirometro salida horno,IF1 Potencia actual inductor 1,IF1 Potencia actual inductor 2,IF1 Potencia actual inductor 3,IF1 Potencia actual inductor 4,punta
0,6211345,700.0,2022-08-05 09:02:05.405363,,,,,,0.0
1,6211345,700.0,2022-08-05 09:02:05.505363,,,,,,0.0
2,6211345,700.0,2022-08-05 09:02:05.605363,,,,,,0.0
3,6211345,768.483,2022-08-05 09:02:05.705363,,,,,,0.25
4,6211345,768.483,2022-08-05 09:02:05.805363,,,,,,0.25
5,6211345,920.922,2022-08-05 09:02:05.905363,,0.0,,,,0.5
6,6211345,920.922,2022-08-05 09:02:06.005363,,0.0,,,,0.5
7,6211345,920.922,2022-08-05 09:02:06.105363,,0.0,,,,0.5
8,6211345,965.73,2022-08-05 09:02:06.205363,,0.0,,,,0.75
9,6211345,965.73,2022-08-05 09:02:06.305363,,0.0,,,,0.75
10,6211345,1002.79,2022-08-05 09:02:06.405363,,0.0,,,,1.0
11,6211345,1002.79,2022-08-05 09:02:06.505363,,0.0,,,,1.0
12,6211345,1002.79,2022-08-05 09:02:06.605363,,0.0,,,,1.0
13,6211345,1018.08,2022-08-05 09:02:06.705363,,0.0,,,,1.25
14,6211345,1018.08,2022-08-05 09:02:06.805363,,0.0,,,,1.25
15,6211345,1030.76,2022-08-05 09:02:06.905363,,0.0,,,,1.5
16,6211345,1030.76,2022-08-05 09:02:07.005363,,0.0,,,,1.5
17,6211345,1030.76,2022-08-05 09:02:07.105363,,0.0,,,,1.5
18,6211345,1034.98,2022-08-05 09:02:07.205363,,0.0,,,,1.75
19,6211345,1034.98,2022-08-05 09:02:07.305363,,0.0,,,,1.75
20,6211345,1041.28,2022-08-05 09:02:07.405363,,0.0,,,,2.0
21,6211345,1041.28,2022-08-05 09:02:07.505363,,0.0,,,,2.0
22,6211345,1041.28,2022-08-05 09:02:07.605363,,0.0,,,,2.0
23,6211345,1044.33,2022-08-05 09:02:07.705363,,0.0,,,,2.25
24,6211345,1044.33,2022-08-05 09:02:07.805363,,0.0,,,,2.25
25,6211345,1046.32,2022-08-05 09:02:07.905363,,79.0,,,,2.5
26,6211345,1046.32,2022-08-05 09:02:08.005363,,79.0,,,,2.5
27,6211345,1046.32,2022-08-05 09:02:08.105363,,79.0,,,,2.5
28,6211345,1046.31,2022-08-05 09:02:08.205363,,291.0,,,,2.75
29,6211345,1046.31,2022-08-05 09:02:08.305363,,291.0,,,,2.75
30,6211345,1044.01,2022-08-05 09:02:08.405363,,333.0,,,,3.0
31,6211345,1044.01,2022-08-05 09:02:08.505363,,333.0,,,,3.0
32,6211345,1044.01,2022-08-05 09:02:08.605363,,333.0,,,,3.0
33,6211345,1041.25,2022-08-05 09:02:08.705363,,345.0,,,,3.25
34,6211345,1041.25,2022-08-05 09:02:08.805363,,345.0,,,,3.25
35,6211345,1037.13,2022-08-05 09:02:08.905363,,349.0,,,,3.5
36,6211345,1037.13,2022-08-05 09:02:09.005363,,349.0,,,,3.5
37,6211345,1037.13,2022-08-05 09:02:09.105363,,349.0,,,,3.5
38,6211345,1038.51,2022-08-05 09:02:09.205363,,348.0,,,,3.75
39,6211345,1038.51,2022-08-05 09:02:09.305363,,348.0,,,,3.75
40,6211345,1040.07,2022-08-05 09:02:09.405363,,347.0,,,,4.0
41,6211345,1040.07,2022-08-05 09:02:09.505363,,347.0,,,,4.0
42,6211345,1040.07,2022-08-05 09:02:09.605363,,347.0,,,,4.0
43,6211345,1041.92,2022-08-05 09:02:09.705363,,342.0,,,,4.25
44,6211345,1041.92,2022-08-05 09:02:09.805363,,342.0,,,,4.25
45,6211345,1042.68,2022-08-05 09:02:09.905363,,339.0,,,,4.5
46,6211345,1042.68,2022-08-05 09:02:10.005363,,339.0,,,,4.5
47,6211345,1042.68,2022-08-05 09:02:10.105363,,339.0,,,,4.5
48,6211345,1045.34,2022-08-05 09:02:10.205363,,336.0,,,,4.75
49,6211345,1045.34,2022-08-05 09:02:10.305363,,336.0,,,,4.75
50,6211345,1048.16,2022-08-05 09:02:10.405363,,334.0,,,,5.0
51,6211345,1048.16,2022-08-05 09:02:10.505363,,334.0,,,,5.0
52,6211345,1048.16,2022-08-05 09:02:10.605363,,334.0,,,,5.0
53,6211345,1047.02,2022-08-05 09:02:10.705363,,334.0,,,,5.25
54,6211345,1047.02,2022-08-05 09:02:10.805363,,334.0,,,,5.25
55,6211345,1042.95,2022-08-05 09:02:10.905363,,335.0,0.0,,,5.5
56,6211345,1042.95,2022-08-05 09:02:11.005363,,335.0,0.0,,,5.5
57,6211345,1042.95,2022-08-05 09:02:11.105363,,335.0,0.0,,,5.5
58,6211345,1039.19,2022-08-05 09:02:11.205363,,334.0,0.0,,,5.75
59,6211345,1039.19,2022-08-05 09:02:11.305363,,334.0,0.0,,,5.75
60,6211345,1041.8,2022-08-05 09:02:11.405363,,335.0,27.0,,,6.0
61,6211345,1041.8,2022-08-05 09:02:11.505363,,335.0,27.0,,,6.0
62,6211345,1041.8,2022-08-05 09:02:11.605363,,335.0,27.0,,,6.0
63,6211345,1045.18,2022-08-05 09:02:11.705363,,332.0,405.0,,,6.25
64,6211345,1045.18,2022-08-05 09:02:11.805363,,332.0,405.0,,,6.25
65,6211345,1050.51,2022-08-05 09:02:11.905363,,334.0,409.0,,,6.5
66,6211345,1050.51,2022-08-05 09:02:12.005363,,334.0,409.0,,,6.5
67,6211345,1050.51,2022-08-05 09:02:12.105363,,334.0,409.0,,,6.5
