,bulto,IF1 Pirometro entrada horno,tiempo,IF1 Pirometro salida horno,IF1 Potencia actual inductor 1,IF1 Potencia actual inductor 2,IF1 Potencia actual inductor 3,IF1 Potencia actual inductor 4,punta
0,6211289,751.66,2022-08-05 07:09:33.628265,0.0,0.0,0.0,0.0,0.0,0.0
1,6211289,751.66,2022-08-05 07:09:33.728265,0.0,0.0,0.0,0.0,0.0,0.0
2,6211289,751.66,2022-08-05 07:09:33.828265,0.0,0.0,0.0,0.0,0.0,0.25
3,6211289,892.52,2022-08-05 07:09:33.928265,0.0,0.0,0.0,0.0,0.0,0.25
4,6211289,892.52,2022-08-05 07:09:34.028265,0.0,0.0,0.0,0.0,0.0,0.25
5,6211289,949.297,2022-08-05 07:09:34.128265,0.0,0.0,0.0,0.0,0.0,0.5
6,6211289,949.297,2022-08-05 07:09:34.228265,0.0,0.0,0.0,0.0,0.0,0.5
7,6211289,949.297,2022-08-05 07:09:34.328265,0.0,0.0,0.0,0.0,0.0,0.5
8,6211289,994.511,2022-08-05 07:09:34.428265,0.0,0.0,0.0,0.0,0.0,0.751
9,6211289,994.511,2022-08-05 07:09:34.528265,0.0,0.0,0.0,0.0,0.0,0.751
10,6211289,1007.19,2022-08-05 07:09:34.628265,0.0,0.0,0.0,0.0,0.0,1.0
11,6211289,1007.19,2022-08-05 07:09:34.728265,0.0,0.0,0.0,0.0,0.0,1.0
12,6211289,1007.19,2022-08-05 07:09:34.828265,0.0,0.0,0.0,0.0,0.0,1.0
13,6211289,1019.9,2022-08-05 07:09:34.928265,0.0,0.0,0.0,0.0,0.0,1.25
14,6211289,1019.9,2022-08-05 07:09:35.028265,0.0,0.0,0.0,0.0,0.0,1.25
15,6211289,1026.25,2022-08-05 07:09:35.128265,0.0,0.0,0.0,0.0,0.0,1.5
16,6211289,1026.25,2022-08-05 07:09:35.228265,0.0,0.0,0.0,0.0,0.0,1.5
17,6211289,1026.25,2022-08-05 07:09:35.328265,0.0,0.0,0.0,0.0,0.0,1.5
18,6211289,1033.07,2022-08-05 07:09:35.428265,0.0,0.0,0.0,0.0,0.0,1.75
19,6211289,1033.07,2022-08-05 07:09:35.528265,0.0,0.0,0.0,0.0,0.0,1.75
20,6211289,1036.5,2022-08-05 07:09:35.628265,0.0,0.0,0.0,0.0,0.0,2.0
21,6211289,1036.5,2022-08-05 07:09:35.728265,0.0,0.0,0.0,0.0,0.0,2.0
22,6211289,1036.5,2022-08-05 07:09:35.828265,0.0,0.0,0.0,0.0,0.0,2.0
23,6211289,1038.72,2022-08-05 07:09:35.928265,0.0,0.0,0.0,0.0,0.0,2.25
24,6211289,1038.72,2022-08-05 07:09:36.028265,0.0,0.0,0.0,0.0,0.0,2.25
25,6211289,1039.77,2022-08-05 07:09:36.128265,0.0,77.0,0.0,0.0,0.0,2.5
26,6211289,1039.77,2022-08-05 07:09:36.228265,0.0,77.0,0.0,0.0,0.0,2.5
27,6211289,1039.77,2022-08-05 07:09:36.328265,0.0,77.0,0.0,0.0,0.0,2.5
28,6211289,1039.62,2022-08-05 07:09:36.428265,0.0,290.0,0.0,0.0,0.0,2.75
29,6211289,1039.62,2022-08-05 07:09:36.528265,0.0,290.0,0.0,0.0,0.0,2.75
30,6211289,1038.01,2022-08-05 07:09:36.628265,0.0,331.0,0.0,0.0,0.0,3.0
31,6211289,1038.01,2022-08-05 07:09:36.728265,0.0,331.0,0.0,0.0,0.0,3.0
32,6211289,1038.01,2022-08-05 07:09:36.828265,0.0,331.0,0.0,0.0,0.0,3.0
33,6211289,1034.76,2022-08-05 07:09:36.928265,0.0,341.0,0.0,0.0,0.0,3.25
34,6211289,1034.76,2022-08-05 07:09:37.028265,0.0,341.0,0.0,0.0,0.0,3.25
35,6211289,1034.25,2022-08-05 07:09:37.128265,0.0,345.0,0.0,0.0,0.0,3.5
36,6211289,1034.25,2022-08-05 07:09:37.228265,0.0,345.0,0.0,0.0,0.0,3.5
37,6211289,1034.25,2022-08-05 07:09:37.328265,0.0,345.0,0.0,0.0,0.0,3.5
38,6211289,1034.45,2022-08-05 07:09:37.428265,0.0,343.0,0.0,0.0,0.0,3.75
39,6211289,1034.45,2022-08-05 07:09:37.528265,0.0,343.0,0.0,0.0,0.0,3.75
40,6211289,1032.93,2022-08-05 07:09:37.628265,0.0,339.0,0.0,0.0,0.0,4.0
41,6211289,1032.93,2022-08-05 07:09:37.728265,0.0,339.0,0.0,0.0,0.0,4.0
42,6211289,1032.93,2022-08-05 07:09:37.828265,0.0,339.0,0.0,0.0,0.0,4.0
43,6211289,1034.08,2022-08-05 07:09:37.928265,0.0,335.0,0.0,0.0,0.0,4.25
44,6211289,1034.08,2022-08-05 07:09:38.028265,0.0,335.0,0.0,0.0,0.0,4.25
45,6211289,1035.23,2022-08-05 07:09:38.128265,0.0,332.0,0.0,0.0,0.0,4.5
46,6211289,1035.23,2022-08-05 07:09:38.228265,0.0,332.0,0.0,0.0,0.0,4.5
47,6211289,1035.23,2022-08-05 07:09:38.328265,0.0,332.0,0.0,0.0,0.0,4.5
48,6211289,1035.26,2022-08-05 07:09:38.428265,0.0,329.0,0.0,0.0,0.0,4.75
49,6211289,1035.26,2022-08-05 07:09:38.528265,0.0,329.0,0.0,0.0,0.0,4.75
50,6211289,1034.83,2022-08-05 07:09:38.628265,0.0,329.0,0.0,0.0,0.0,5.0
51,6211289,1034.83,2022-08-05 07:09:38.728265,0.0,329.0,0.0,0.0,0.0,5.0
52,6211289,1034.83,2022-08-05 07:09:38.828265,0.0,329.0,0.0,0.0,0.0,5.0
53,6211289,1034.23,2022-08-05 07:09:38.928265,0.0,329.0,0.0,0.0,0.0,5.25
54,6211289,1034.23,2022-08-05 07:09:39.028265,0.0,329.0,0.0,0.0,0.0,5.25
55,6211289,1030.51,2022-08-05 07:09:39.128265,0.0,329.0,0.0,0.0,0.0,5.5
56,6211289,1030.51,2022-08-05 07:09:39.228265,0.0,329.0,0.0,0.0,0.0,5.5
57,6211289,1030.51,2022-08-05 07:09:39.328265,0.0,329.0,0.0,0.0,0.0,5.5
